,wave1_amp,wave1_phase,wave2_amp,wave2_phase,wave3_amp,wave3_phase,wave4_amp,wave4_phase,wave5_amp,wave5_phase,wave6_amp,wave6_phase,wave7_amp,wave7_phase,wave8_amp,wave8_phase,wave9_amp,wave9_phase,ZW3_index,env_amp_mean,env_extent,env_start_lon,env_end_lon,nenv_amp_mean,nenv_extent,nenv_start_lon,nenv_end_lon
2001-02-08,1.4425796270370483,288.0,0.7871991991996765,75.75,1.6131352186203003,96.0,2.729562520980835,82.5,0.43057844042778015,19.5,0.3867366909980774,23.25,0.2529592514038086,48.0,0.3251882493495941,29.25,0.26590678095817566,29.25,-0.17170989513397217,4.803163051605225,103.5,31.5,134.25,1.6514147520065308,99.0,51.75,150.0
2001-02-09,1.4594646692276,286.5,0.7284436821937561,73.5,1.6959558725357056,95.25,2.59690523147583,82.5,0.47763416171073914,18.0,0.2863713204860687,23.25,0.21898901462554932,48.75,0.3196074962615967,30.0,0.2562176585197449,30.75,-0.07491350173950195,4.812414646148682,103.5,30.75,133.5,1.6434922218322754,110.25,39.0,148.5
2001-02-10,1.465651035308838,285.75,0.7197072505950928,70.5,1.772408366203308,93.75,2.4568684101104736,81.75,0.5299650430679321,18.0,0.26473671197891235,20.25,0.24275727570056915,48.0,0.2735626697540283,30.0,0.20462216436862946,30.0,-0.004738172050565481,4.832151412963867,106.5,27.75,133.5,1.6856178045272827,114.75,34.5,148.5
2001-02-11,1.4594606161117554,285.75,0.7200764417648315,68.25,1.8522777557373047,93.75,2.449453592300415,80.25,0.5752324461936951,18.0,0.25622960925102234,20.25,0.2527545392513275,50.25,0.22695773839950562,28.5,0.26689353585243225,29.25,0.02321966551244259,4.848947048187256,108.0,27.75,135.0,1.7436161041259766,117.75,33.0,150.0
2001-02-12,1.4281468391418457,285.75,0.7251112461090088,67.5,1.9439150094985962,93.75,2.534278631210327,80.25,0.6651278734207153,18.75,0.21345505118370056,19.5,0.25652873516082764,50.25,0.26292213797569275,27.75,0.3335810899734497,30.0,-0.0022840499877929688,4.887706279754639,108.0,29.25,136.5,1.7725228071212769,115.5,36.0,150.75
2001-02-13,1.3923901319503784,285.75,0.7450367212295532,66.75,2.0215978622436523,93.75,2.6318159103393555,80.25,0.7401552200317383,20.25,0.19571852684020996,15.75,0.22644346952438354,0.0,0.340066522359848,28.5,0.293940007686615,30.75,-0.004208803176879883,4.937433242797852,112.5,27.75,139.5,1.7943276166915894,116.25,37.5,153.0
2001-02-14,1.3614580631256104,286.5,0.7602890133857727,66.0,2.0854125022888184,94.5,2.6735708713531494,80.25,0.7246195077896118,24.0,0.19819261133670807,15.0,0.21571560204029083,0.75,0.31913498044013977,29.25,0.21600431203842163,30.0,0.034830253571271896,4.956855297088623,114.75,25.5,139.5,1.8046247959136963,120.0,36.0,155.25
2001-02-15,1.339266061782837,287.25,0.7571589350700378,64.5,2.159876823425293,94.5,2.706535816192627,79.5,0.5814526081085205,26.25,0.24514971673488617,14.25,0.16592508554458618,2.25,0.35744398832321167,29.25,0.23945358395576477,29.25,0.07459012418985367,4.975550651550293,116.25,23.25,138.75,1.8052940368652344,121.5,34.5,155.25
2001-02-16,1.3126718997955322,288.0,0.7526975274085999,63.0,2.2153332233428955,94.5,2.7360682487487793,79.5,0.4573313891887665,27.0,0.24816760420799255,16.5,0.1100272536277771,51.0,0.29818642139434814,30.75,0.19833488762378693,29.25,0.07890399545431137,4.933577060699463,116.25,18.75,134.25,1.748142957687378,119.25,32.25,150.75
2001-02-17,1.296180248260498,288.75,0.7483499646186829,62.25,2.262836456298828,94.5,2.760925769805908,79.5,0.2893602252006531,26.25,0.2346704751253128,15.75,0.19930711388587952,47.25,0.26873260736465454,29.25,0.24019309878349304,30.0,0.08884445577859879,4.863991737365723,122.25,12.75,134.25,1.6684061288833618,132.75,16.5,148.5
2001-02-18,1.2833948135375977,289.5,0.7402539849281311,63.75,2.291658401489258,94.5,2.730985403060913,80.25,0.2541695535182953,20.25,0.294588565826416,15.75,0.25620758533477783,50.25,0.33250460028648376,29.25,0.1838647872209549,30.75,0.07127300649881363,4.824962139129639,123.0,11.25,133.5,1.619264841079712,135.0,14.25,148.5
